~, Ui_st_community, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight
merc_sunset_outfit,killer,merc_sunset_outfit_name,11,47000,10%,18%,11%,11%,10%,11%,0%,25%,40%,0,1,15
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,5,45370,12%,17%,13%,11%,16%,13%,13%,28%,50%,0,0,6
merc_coyote_outfit,killer,merc_coyote_outfit_name,12,51500,10%,13%,2%,15%,11%,13%,0%,23%,34%,3,4,27
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,18,182720,18%,18%,86%,50%,54%,63%,54%,20%,30%,3,5,18
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,15,44670,12%,17%,11%,11%,13%,13%,0%,25%,50%,1,3,15
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,16,168480,18%,11%,66%,64%,87%,74%,54%,20%,30%,3,5,16
greh_ps5_outfit,greh,greh_ps5_outfit_name,10,47280,12%,13%,29%,27%,11%,9%,0%,20%,36%,0,0,9
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,14,128710,6%,20%,3%,30%,22%,36%,2%,5%,20%,1,2,14
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,9,81000,10%,6%,43%,17%,51%,56%,40%,20%,20%,2,4,23
cs_medium_outfit,csky,csky_medium_outfit_name,12,47120,16%,13%,12%,5%,4%,14%,0%,30%,30%,1,1,14
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,11,50280,12%,13%,7%,19%,11%,13%,0%,10%,31%,1,3,10
wastelander_outfit,stalker,wastelander_outfit_name,9,82000,16%,13%,34%,32%,20%,54%,43%,30%,30%,4,5,12
bandit_sun_outfit,bandit,bandit_sun_outfit_name,16,37020,8%,9%,12%,30%,11%,9%,0%,10%,14%,1,3,16
isg_scientific_outfit,isg,isg_scientific_outfit_name,11,73200,25%,15%,13%,44%,47%,63%,50%,20%,31%,2,4,19
